iter	Logloss
0	0.6880694392
1	0.6832706766
2	0.6793406225
3	0.6758845324
4	0.6718928803
5	0.6686185129
6	0.6653718398
7	0.6621633631
8	0.6596491747
9	0.6573177602
10	0.6551838167
11	0.6528446101
12	0.6505693202
13	0.6487671198
14	0.6468924557
15	0.6452617938
16	0.6437793474
17	0.6423341535
18	0.6411086547
19	0.6397065101
20	0.6384889493
21	0.6373368583
22	0.6361639458
23	0.6351247602
24	0.6340349519
25	0.6331578213
26	0.6323461619
27	0.6313915889
28	0.6305792506
29	0.6297875956
30	0.6291041274
31	0.6283606197
32	0.6276382676
33	0.6268077438
34	0.6260687213
35	0.6255943061
36	0.6249604604
37	0.6242988124
38	0.6237270488
39	0.6229716304
40	0.6223613777
41	0.6218168763
42	0.6211707686
43	0.62064603
44	0.6201623242
45	0.6197804691
46	0.6192826553
47	0.6188643728
48	0.6184174724
49	0.6180076467
50	0.6176143529
51	0.6171607343
52	0.6165872934
53	0.6159631134
54	0.6154812311
55	0.6151086603
56	0.6145379228
57	0.6138949993
58	0.6135295384
59	0.6132838303
60	0.6128773201
61	0.6126148891
62	0.6123110705
63	0.6119330142
64	0.6115543004
65	0.6111560459
66	0.6107685399
67	0.6103952015
68	0.6101427115
69	0.6096991681
70	0.6093925806
71	0.6089334411
72	0.6085823441
73	0.6082043409
74	0.6078004815
75	0.6074859186
76	0.6071492203
77	0.6068939095
78	0.6063685767
79	0.6061317608
80	0.6059200737
81	0.6056076212
82	0.6053233278
83	0.6051182695
84	0.6047295213
85	0.6044944726
86	0.6041535828
87	0.6039701641
88	0.6037606726
89	0.6035217523
90	0.6030708568
91	0.6027905136
92	0.6025346961
93	0.6020508971
94	0.6017669951
95	0.6014682229
96	0.6011866234
97	0.6008438674
98	0.6006226696
99	0.6003328276
100	0.6001365522
101	0.5998853293
102	0.5996850567
103	0.5992946261
104	0.5989780074
105	0.5986239112
106	0.5983622094
107	0.5980590205
108	0.5976054939
109	0.597342047
110	0.5971676191
111	0.5969259796
112	0.5966657814
113	0.5963746288
114	0.5961414971
115	0.5959112292
116	0.5957010709
117	0.595553381
118	0.5953892738
119	0.5951797231
120	0.5949768195
121	0.5947960556
122	0.5944871607
123	0.5941315114
124	0.5938922558
125	0.5936551148
126	0.5933648121
127	0.592991216
128	0.5926968005
129	0.5924511259
130	0.5922930491
131	0.5920872915
132	0.5917995586
133	0.5916110039
134	0.5912798611
135	0.591111154
136	0.5907626838
137	0.590518558
138	0.590289948
139	0.5901470121
140	0.5898417204
141	0.5895866498
142	0.5894296405
143	0.5891627412
144	0.5890540384
145	0.5887798082
146	0.5884444362
147	0.5881031026
148	0.5879606643
149	0.5878073155
150	0.5875988812
151	0.5874282466
152	0.5871281059
153	0.5868925203
154	0.5867109052
155	0.5865312659
156	0.5863843005
157	0.5861507358
158	0.5860456491
159	0.5859262029
160	0.5857962803
161	0.585542094
162	0.585327007
163	0.5851654555
164	0.5849209429
165	0.5847066949
166	0.5846066953
167	0.5843379146
168	0.5840581115
169	0.5838353446
170	0.5835532268
171	0.5833303035
172	0.5831090617
173	0.5828441656
174	0.5826979228
175	0.5824983223
176	0.5822527458
177	0.5819746149
178	0.5816937634
179	0.5814961677
180	0.5812986857
181	0.5809656251
182	0.5807250114
183	0.5805269598
184	0.5802951282
185	0.5801296715
186	0.5798985552
187	0.5796711359
188	0.579522183
189	0.579286574
190	0.5791174552
191	0.5789051616
192	0.5787452871
193	0.5784352045
194	0.5780375274
195	0.5778402771
196	0.5777031373
197	0.5774351381
198	0.5772377498
199	0.5768433921
200	0.576654923
201	0.5763779612
202	0.5763269492
203	0.5762439843
204	0.5761253641
205	0.5758543224
206	0.5756087046
207	0.5752134944
208	0.5750060574
209	0.5748442682
210	0.5745111021
211	0.5742686118
212	0.5740513326
213	0.5737845236
214	0.5735351629
215	0.5732348117
216	0.5729785959
217	0.5727655042
218	0.5725672435
219	0.5723846722
220	0.5722200196
221	0.5719765963
222	0.571713937
223	0.5715460853
224	0.5714394748
225	0.5711212274
226	0.5709147362
227	0.5706829525
228	0.57041761
229	0.5702614271
230	0.5700333212
231	0.569745027
232	0.5694929532
233	0.5692994437
234	0.5690358578
235	0.5688985542
236	0.5687147261
237	0.5684822332
238	0.5682730639
239	0.5680595338
240	0.5679091494
241	0.5676643193
242	0.5674384048
243	0.5671391542
244	0.5669377647
245	0.5667740708
246	0.5666530012
247	0.5664288889
248	0.5662449738
249	0.5660647297
250	0.5658045637
251	0.5655981928
252	0.5654136271
253	0.5652329173
254	0.565096403
255	0.5649046875
256	0.5647056357
257	0.564515794
258	0.5642806906
259	0.5640715789
260	0.5638470621
261	0.5637090687
262	0.5635590915
263	0.5633888549
264	0.5631805288
265	0.5629647758
266	0.5627718723
267	0.5625381959
268	0.5623104222
269	0.5621979245
270	0.561861722
271	0.561657338
272	0.5614156504
273	0.5612040006
274	0.5609117959
275	0.5607052099
276	0.5603977168
277	0.5601761176
278	0.5599439883
279	0.5596318693
280	0.5594444626
281	0.559205872
282	0.5590166158
283	0.5587695431
284	0.5585313454
285	0.5583021829
286	0.5580408855
287	0.5578035551
288	0.5574790824
289	0.5572588375
290	0.5569895643
291	0.5567752184
292	0.5565622568
293	0.5563596115
294	0.5562150122
295	0.5560492948
296	0.5557248644
297	0.5554946819
298	0.5553182866
299	0.5550848227
300	0.5548766781
301	0.5546908521
302	0.5544599251
303	0.5542269834
304	0.5540137441
305	0.5538125186
306	0.553470719
307	0.5532644971
308	0.5529755691
309	0.5527593758
310	0.5524968265
311	0.5522190755
312	0.5520047697
313	0.5517744679
314	0.5516322188
315	0.5514251184
316	0.5512392111
317	0.5511091574
318	0.5508488888
319	0.5506950257
320	0.5505448505
321	0.5503305321
322	0.5501534303
323	0.5499427236
324	0.5496917449
325	0.5494900937
326	0.5492952852
327	0.5489240528
328	0.548744412
329	0.5485464464
330	0.5483360563
331	0.5481026921
332	0.5478474471
333	0.5476034492
334	0.5474014989
335	0.5470162151
336	0.5468156897
337	0.5464772507
338	0.5463016509
339	0.5461107826
340	0.545928411
341	0.5457712837
342	0.5455551135
343	0.545306599
344	0.5450376555
345	0.544868378
346	0.5446385956
347	0.5444514236
348	0.5442035542
349	0.5440275437
350	0.5437362231
351	0.5436269846
352	0.5433470888
353	0.5431880768
354	0.5429932773
355	0.5428369519
356	0.5426092548
357	0.5424165906
358	0.5422013945
359	0.5420353955
360	0.5418060311
361	0.5416183839
362	0.5414763141
363	0.5413195789
364	0.5411710049
365	0.540999298
366	0.5408166229
367	0.5405701241
368	0.5404163276
369	0.540186886
370	0.5399677899
371	0.5397042723
372	0.5395480051
373	0.5394357485
374	0.5391933904
375	0.538958206
376	0.5387684331
377	0.5385779562
378	0.5383795145
379	0.5382254577
380	0.537983374
381	0.5378130843
382	0.537655211
383	0.5375237693
384	0.53734029
385	0.5371275338
386	0.5369145743
387	0.536678997
388	0.5364602132
389	0.536259207
390	0.5361088483
391	0.5359399797
392	0.5357625579
393	0.5356330358
394	0.535389639
395	0.5352479587
396	0.5350190998
397	0.5348323085
398	0.5345711145
399	0.534434547
400	0.5342578204
401	0.5340899562
402	0.5338149133
403	0.533700313
404	0.5335783145
405	0.5334347024
406	0.5332662393
407	0.5330276222
408	0.5328622875
409	0.5326383581
410	0.5324249408
411	0.5322281658
412	0.532056442
413	0.5317938327
414	0.5315689879
415	0.5314199896
416	0.5311603073
417	0.5309519397
418	0.5307966635
419	0.5306276
420	0.5304810785
421	0.530315144
422	0.530226944
423	0.5300510085
424	0.5299752269
425	0.5298375536
426	0.5296095282
427	0.5294358785
428	0.5292721479
429	0.5290932287
430	0.5289277438
431	0.5287774256
432	0.5286472153
433	0.5284960007
434	0.5283075958
435	0.5281492669
436	0.5279326448
437	0.5277213938
438	0.5275718974
439	0.5273699266
440	0.5271992467
441	0.5270421107
442	0.5269311878
443	0.5267209414
444	0.526596574
445	0.5264657485
446	0.5263194415
447	0.5261536663
448	0.5260757859
449	0.5258972901
450	0.525629574
451	0.5254861561
452	0.5253077835
453	0.5251016159
454	0.5249195061
455	0.5247236663
456	0.5244857853
457	0.5243460269
458	0.5241019088
459	0.5239435546
460	0.5237740094
461	0.52361864
462	0.5234671964
463	0.523362953
464	0.5231248014
465	0.5229595979
466	0.5227774849
467	0.5225885759
468	0.5223218464
469	0.522120698
470	0.521982112
471	0.5217646196
472	0.5216329434
473	0.5214324791
474	0.5212160203
475	0.5209697737
476	0.5207374994
477	0.520469712
478	0.5202355192
479	0.5199865128
480	0.5198139523
481	0.5195931942
482	0.519413188
483	0.5191650782
484	0.5190524743
485	0.5188975669
486	0.5186988592
487	0.5185567025
488	0.5183884893
489	0.5182052475
490	0.5179826184
491	0.5178501857
492	0.5176666037
493	0.5175295734
494	0.5173398131
495	0.5171692456
496	0.5169762341
497	0.516822816
498	0.5166261758
499	0.5164532254
500	0.5162597431
501	0.5160446157
502	0.5158154645
503	0.5156618428
504	0.5155254832
505	0.5153495878
506	0.5152158461
507	0.5150015383
508	0.5148611871
509	0.5146776209
510	0.5144679613
511	0.5142393845
512	0.5140488622
513	0.5139281467
514	0.5137782143
515	0.5135606297
516	0.5133216932
517	0.513193006
518	0.5129935993
519	0.5128443535
520	0.512598746
521	0.5124118466
522	0.5122139431
523	0.5120251148
524	0.5118506237
525	0.5116988565
526	0.5115768889
527	0.511426958
528	0.5113009466
529	0.5111264126
530	0.5109382779
531	0.5108061569
532	0.5105766492
533	0.510426406
534	0.5103252501
535	0.5101713706
536	0.510010844
537	0.5098643151
538	0.5096825926
539	0.5095174982
540	0.5092714701
541	0.5090629882
542	0.5088559926
543	0.5087260229
544	0.5086258018
545	0.5084647503
546	0.5083234805
547	0.508185548
548	0.5079971081
549	0.5078179001
550	0.5076907844
551	0.5074738666
552	0.5073538145
553	0.5071500971
554	0.506952228
555	0.5067704911
556	0.5066187089
557	0.50648273
558	0.5062473988
559	0.505997006
560	0.5058699458
561	0.505696531
562	0.5055350208
563	0.5053487094
564	0.5052139857
565	0.5050855856
566	0.5048147036
567	0.5046514975
568	0.5044774047
569	0.5042733432
570	0.5040677038
571	0.503923544
572	0.5037152109
573	0.5035751091
574	0.5034314956
575	0.5032620462
576	0.503144751
577	0.5029362724
578	0.5028189037
579	0.5026641334
580	0.5024418187
581	0.5022631766
582	0.5020712851
583	0.5019739134
584	0.5018352026
585	0.5016498848
586	0.5014819889
587	0.501354731
588	0.5011546311
589	0.5009779047
590	0.5008054131
591	0.500661119
592	0.5004945882
593	0.5003348745
594	0.5002267704
595	0.5000492427
596	0.4999044538
597	0.4997124155
598	0.4996300588
599	0.4993394889
600	0.4991234106
601	0.4989302918
602	0.4988262634
603	0.4986152271
604	0.4984849614
605	0.4982887224
606	0.498094214
607	0.4979101594
608	0.4977296404
609	0.4976015424
610	0.4973920544
611	0.4971889411
612	0.4970534006
613	0.4969112619
614	0.4967541559
615	0.4966504261
616	0.4965499191
617	0.4963611138
618	0.496248388
619	0.4960992587
620	0.4959284314
621	0.4957010141
622	0.4955420417
623	0.4953986858
624	0.4952044946
625	0.4950288506
626	0.494827095
627	0.4946282851
628	0.4944537317
629	0.4943245279
630	0.4941424551
631	0.4939202787
632	0.493815489
633	0.4936946377
634	0.4934980957
635	0.4933606327
636	0.4932491578
637	0.4931755329
638	0.4930134226
639	0.4928502207
640	0.4926699596
641	0.4924621278
642	0.4923168676
643	0.4921813605
644	0.4920674486
645	0.4919336273
646	0.4918362523
647	0.4916826356
648	0.4915616446
649	0.4914541917
650	0.4912465612
651	0.4910918261
652	0.4909041239
653	0.4906782714
654	0.4904857035
655	0.4902677814
656	0.4901581599
657	0.4899988772
658	0.4897517881
659	0.4896010111
660	0.489493947
661	0.489293431
662	0.489148059
663	0.4890010004
664	0.4888434835
665	0.48870002
666	0.4885248881
667	0.4883991533
668	0.48820961
669	0.4881282815
670	0.4879117717
671	0.4877364742
672	0.4876951558
673	0.4875430728
674	0.4873965938
675	0.4872338989
676	0.4870870114
677	0.4869533027
678	0.4867223485
679	0.4865431892
680	0.4864157015
681	0.4862378428
682	0.4860263405
683	0.4857966916
684	0.4856287865
685	0.4854982175
686	0.485300333
687	0.4851336838
688	0.4849913879
689	0.4848774413
690	0.4847736991
691	0.4846032924
692	0.4844965642
693	0.4843133564
694	0.4841083401
695	0.4839787682
