iter	Passed	Remaining
0	15	15223
1	29	14890
2	42	14242
3	58	14472
4	70	14039
5	82	13684
6	95	13586
7	109	13595
8	123	13622
9	138	13717
10	150	13520
11	164	13581
12	178	13517
13	191	13458
14	204	13438
15	216	13322
16	231	13376
17	244	13354
18	258	13347
19	272	13342
20	285	13301
21	296	13181
22	339	14400
23	351	14285
24	363	14159
25	376	14099
26	389	14054
27	402	13987
28	417	13990
29	433	14011
30	446	13970
31	460	13920
32	473	13862
33	486	13823
34	498	13734
35	510	13665
36	526	13691
37	539	13655
38	553	13631
39	566	13606
40	579	13543
41	592	13520
42	607	13514
43	622	13517
44	637	13535
45	652	13529
46	666	13520
47	677	13443
48	690	13396
49	704	13386
50	719	13381
51	731	13330
52	742	13268
53	757	13269
54	771	13257
55	785	13235
56	799	13231
57	814	13220
58	829	13234
59	840	13164
60	852	13118
61	864	13086
62	877	13054
63	888	12996
64	901	12964
65	914	12938
66	926	12905
67	938	12866
68	951	12845
69	967	12849
70	981	12839
71	995	12825
72	1008	12806
73	1021	12781
74	1034	12764
75	1048	12745
76	1061	12720
77	1071	12668
78	1085	12660
79	1099	12646
80	1114	12639
81	1128	12632
82	1141	12613
83	1156	12610
84	1170	12604
85	1183	12582
86	1198	12578
87	1213	12573
88	1228	12571
89	1241	12548
90	1252	12515
91	1266	12503
92	1281	12499
93	1297	12503
94	1311	12491
95	1323	12462
96	1335	12432
97	1347	12401
98	1360	12383
99	1373	12363
100	1385	12333
101	1397	12301
102	1409	12278
103	1422	12258
104	1434	12224
105	1448	12214
106	1462	12208
107	1478	12207
108	1493	12211
109	1509	12212
110	1524	12210
111	1538	12199
112	1550	12171
113	1564	12161
114	1580	12165
115	1595	12158
116	1610	12154
117	1626	12156
118	1642	12158
119	1656	12150
120	1671	12142
121	1685	12132
122	1700	12126
123	1713	12106
124	1727	12090
125	1741	12076
126	1755	12067
127	1770	12062
128	1786	12060
129	1801	12055
130	1816	12047
131	1833	12057
132	1854	12087
133	1870	12087
134	1885	12078
135	1896	12050
136	1910	12036
137	1925	12025
138	1939	12015
139	1954	12007
140	1969	11996
141	1983	11983
142	1996	11964
143	2010	11948
144	2023	11928
145	2037	11915
146	2050	11899
147	2064	11883
148	2077	11866
149	2089	11842
150	2103	11828
151	2118	11818
152	2132	11806
153	2146	11790
154	2158	11764
155	2170	11744
156	2184	11728
157	2198	11713
158	2210	11692
159	2223	11673
160	2235	11651
161	2249	11638
162	2265	11631
163	2279	11618
164	2289	11588
165	2301	11564
166	2314	11544
167	2326	11523
168	2338	11499
169	2350	11475
170	2363	11456
171	2374	11431
172	2385	11404
173	2398	11385
174	2411	11367
175	2422	11340
